esinw ecosw obliquity co2_ppm ice 
0.0148 -0.0455 23.477 1121.06 6828600000000000.000 
0.0002 -0.0270 23.804  556.10 6828600000000000.000 
-0.0036 -0.0158 22.943  736.85 6828600000000000.000 
-0.0170 -0.0187 23.545  812.35 6828600000000000.000 
-0.0221 -0.0266 24.208  884.15 6828600000000000.000 
-0.0501 0.0290 23.883  982.12 6828600000000000.000 
-0.0188 0.0560 24.334 1097.18 6828600000000000.000 
0.0038 0.0480 23.670 1050.69 7263900000000000.000 
0.0034 0.0475 24.122  956.12 7263900000000000.000 
0.0119 0.0206 24.324 1087.70 7263900000000000.000 
0.0516 0.0094 23.554  854.76 7263900000000000.000 
0.0097 -0.0044 22.757  813.30 7263900000000000.000 
-0.0006 -0.0389 22.680  614.39 7263900000000000.000 
-0.0096 -0.0273 22.523  800.95 7263900000000000.000 
-0.0278 0.0030 22.707  604.68 7263900000000000.000 
-0.0406 0.0038 22.029  649.95 7263900000000000.000 
0.0224 -0.0030 22.570  666.32 3734200000000000.000 
0.0062 -0.0305 24.024  873.96 3734200000000000.000 
0.0193 -0.0281 22.624  625.03 3734200000000000.000 
0.0108 -0.0078 23.984  904.77 3734200000000000.000 
-0.0113 -0.0278 22.818  959.16 3734200000000000.000 
-0.0071 -0.0088 22.655  758.18 3734200000000000.000 
-0.0490 -0.0072 24.441  830.42 3734200000000000.000 
-0.0024 0.0303 23.181  587.30 3734200000000000.000 
0.0242 0.0332 23.079  574.99 2041800000000000.000 
0.0082 0.0403 22.449  925.36 2041800000000000.000 
0.0214 0.0306 24.187  597.87 2041800000000000.000 
0.0150 -0.0002 22.361  856.40 2041800000000000.000 
0.0029 -0.0342 23.505 1054.30 2041800000000000.000 
0.0012 -0.0303 23.448  896.89 2041800000000000.000 
0.0068 -0.0060 23.164  716.84 2041800000000000.000 
-0.0108 -0.0017 23.729  993.92 2041800000000000.000 
0.0067 0.0033 22.631  611.04 841780000000000.000 
0.0608 0.0027 24.233  844.03 841780000000000.000 
0.0371 -0.0028 22.990  652.15 841780000000000.000 
0.0154 -0.0149 22.858 1061.66 841780000000000.000 
-0.0420 -0.0098 24.136  868.40 841780000000000.000 
-0.0321 0.0011 23.833  706.61 841780000000000.000 
-0.0366 0.0130 23.033  691.83 841780000000000.000 
-0.0014 0.0167 23.767  831.95 841780000000000.000 
-0.0394 0.0098 22.421  790.99 841780000000000.000 
0.0320 0.0272 23.586  942.01 106050000000000.000 
0.0316 0.0109 23.458  988.69 106050000000000.000 
0.0282 0.0067 24.383  971.59 106050000000000.000 
-0.0078 -0.0019 24.374  765.13 106050000000000.000 
-0.0147 -0.0109 22.598  607.52 106050000000000.000 
-0.0298 -0.0034 22.105  929.82 106050000000000.000 
-0.0414 0.0046 23.798 1021.26 106050000000000.000 
-0.0059 0.0044 23.406  562.17 106050000000000.000 
